iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
3607,2021-12-10 17:51:00,17:51:22,44540.74376,44540.744,33.3871071,-115.9003395,740.0,225.552,1.989885946,198.9885946,98.76077723,415.585245,585.0929676,,56.30042145,491.7825773,226.4056797,69.49621023,16.27766444,3.072465379,3.209165215,24.53781648,140.5328793,268.1398581,24.68434429,28.09845803,15.91370648,1.297804837,77.83192144,82.10687859,0.794909218,2.303149468,547.5838345,8.439952111,0.553882444,0.750183376,0.393430163,0.639048156,1.410330134,,17.64291181,6.078494317,1.463504874,4.142423114,0.549927053,5.634842195,0.721896176,0.925931685,0.838430777,1479.09377,81.80405063,180.6970828,541.8853374,16.63706416,75.27149659,144.0492534,,,,,55.39081842,32.05648235,,,,,,,,,,9.047196278,8.254080857,,,,4.179001281,,10.55709269,6.001116085,3.075889372,,,,4.106339473,,6.098857465,,,,3.041987306,,43.17048763,26.0915872,6.617311976,15.99847405,7.214613312,3.299424149,,3.053610651,4.383400251,3.564946955,3.623077639,3.163687238,4.988056714,4.139149136,,,"(33.3871071, -115.9003395)",2021,12,10,17
3608,2021-12-10 17:52:00,17:52:22,44540.74444,44540.7447,33.3852051,-115.9648056,740.0,225.552,1.979270378,197.9270378,88.35461088,426.9904608,555.0196911,,7.316447169,493.2956935,225.2881892,69.18757392,16.52333027,3.140068453,3.26217276,27.36922392,138.2281749,258.8769081,22.76153839,26.58710732,16.40382294,1.313321015,78.7264066,88.2743208,0.642075842,2.323901154,575.0265716,7.745371226,0.713862023,0.873003097,0.520014066,0.757531866,1.726968847,,17.38839194,7.310638954,1.517095583,4.087863579,0.559758938,5.925932626,0.760043519,0.952943217,0.801987629,1535.219678,90.18831492,184.8769818,564.8464117,19.85015888,80.39118235,171.6407836,,3.912772407,,,66.39730367,37.43170123,,,,,,,,,,11.15440912,6.136747326,,,,4.260491752,3.29560307,11.3839525,7.567379693,3.517002151,3.707255814,,,,4.811006453,6.961850618,,3.509747684,9.020023467,3.130160851,3.232239611,43.14184694,23.23404875,3.287710344,7.934841461,3.559710567,,,,,,,,,,,,"(33.3852051, -115.9648056)",2021,12,10,17
3609,2021-12-10 17:57:00,17:57:46,44540.74817,44540.74845,33.4863069,-116.0885103,733.0,223.4184,1.976435331,197.6435331,94.2433415,427.6676399,561.7788267,,5.944391734,490.2769658,225.4132544,69.57226269,16.23278135,3.099189122,3.250320762,32.54058697,138.0788045,264.6869263,23.7899036,28.08590233,15.78992086,1.271729855,75.43705515,87.97579027,0.782146562,2.321940003,556.8872618,7.464770942,0.685599958,0.862469472,0.431964564,0.708558575,1.867161213,,20.77050965,8.016590087,1.477250329,4.206330365,0.551173511,5.401529718,0.692433311,0.973700705,0.707634318,1548.474548,88.46109216,189.7987905,528.1126113,16.72597142,78.52431433,165.3320218,5.605306842,,,,66.27257616,34.89315418,,,,,,,,,,9.981715307,6.711267859,,3.144909596,4.140520588,4.800299148,3.037049762,11.57833011,8.616395334,4.650386698,3.944584245,,,4.474022669,3.225934265,7.267071112,,3.0,9.685369011,5.217748918,3.314140661,45.49351601,26.93889018,6.127734044,14.20574588,4.934570123,,,3.33752953,4.630738923,5.852722691,3.657262855,3.349011512,6.643419185,5.07907391,,,"(33.4863069, -116.0885103)",2021,12,10,17
3610,2021-12-10 17:58:00,17:58:34,44540.74873,44540.749,33.5015355,-116.1378183,1642.0,500.4816,1.977732562,197.7732562,81.38537664,429.7739531,556.9029103,,5.99640382,492.9038215,225.9790431,70.26669989,16.19328548,3.118923386,3.161758287,24.76150659,132.2416174,257.6148109,22.70646686,26.34937705,14.89041688,1.323646563,77.94385678,79.56083891,0.819943932,2.355811315,526.3948195,7.652750483,0.699268886,0.866866465,0.29897298,0.561448455,1.728867713,,19.10427002,6.983983905,1.507049891,4.244924001,0.554732708,5.792553948,0.733323501,1.039214998,0.766131588,1389.922302,57.43452884,161.8003881,468.5665843,8.18556385,66.07791562,124.0609123,,,,,42.12691046,27.82091069,,,,,,,,,,7.133711008,5.33471533,,,,4.311502065,,7.466561393,5.722108631,,,,,,,4.429595829,,4.029413579,,3.508486342,,39.6031282,20.25355952,,5.230231196,3.62932755,,,,,,,,,,,,"(33.5015355, -116.1378183)",2021,12,10,17
3611,2021-12-10 17:59:00,17:59:39,44540.74943,44540.74976,33.5518578,-116.1759008,3270.0,996.696,1.993199161,199.3199161,72.70823333,430.0638892,575.6267712,,6.54879289,494.3398289,229.8976533,70.0505858,16.25486357,3.109918982,3.211363582,23.72134984,140.3205523,272.3421774,23.82248068,27.88269876,14.44859066,1.354499656,80.02042065,81.37972925,0.727809715,2.087972109,569.6420795,9.306780673,0.989436333,0.770379952,0.234820926,0.372440954,1.449001854,,19.07683611,6.941553258,1.451331952,4.209932135,0.54859737,5.51558896,0.71303037,0.977649101,0.686397109,1369.680425,64.06855465,174.0928539,524.393702,9.11025561,69.89125167,122.9754175,,,,,44.55437036,28.03194382,,,,,,,,,,8.073692226,7.0210675,,3.911025594,,4.157728603,,7.753275807,5.01813592,,,,,,,3.300416346,,,,,,38.16166205,20.27224368,4.411088734,7.389574256,6.454214465,,,,,,,,4.090754562,3.130669669,,,"(33.5518578, -116.1759008)",2021,12,10,17
3612,2021-12-10 18:01:00,18:01:30,44540.75071,44540.75104,33.618033,-116.2716352,6233.0,1899.8184,2.009399527,200.9399527,91.42035317,425.5170494,553.1390547,,7.598138424,508.6566538,232.0617947,70.9565463,16.46272285,3.174870926,3.298427982,24.62798218,137.3480907,260.0579431,23.96791795,27.4769624,14.32137174,1.311736269,78.9776999,78.55774303,0.725026351,2.165716842,569.8552424,9.147301636,0.526742958,0.749429548,0.227437105,0.3132949,1.35133527,,17.50422988,6.666730853,1.390831931,4.323533806,0.5268862,5.295750395,0.706928691,0.90992771,0.76540927,1373.90991,56.75104404,169.9176404,538.5528025,10.50098401,67.49162977,119.2939534,,,,,46.77340515,27.54151247,,,,,,,,,,9.223005162,9.269575652,,,,4.153877728,,8.492480665,5.100328362,,,,,,,3.130506722,,,8.096506942,,,39.33403122,14.63997144,,4.036944931,,,,,,,,,,,,,"(33.618033, -116.2716352)",2021,12,10,18
3613,2021-12-10 18:03:00,18:03:33,44540.75208,44540.75247,33.6283965,-116.4239355,8335.0,2540.508,1.956137162,195.6137162,73.44609886,415.9163333,554.761808,,12.65747815,493.7403799,226.5010499,69.6698207,16.22011137,3.102776143,3.118498453,14.9720694,133.5424166,257.7525493,22.77425138,26.72227574,13.06246467,1.260391161,76.46453536,75.26673027,0.7328722,2.027773241,539.7397584,7.269135315,0.418718012,0.817166971,0.207414513,0.296514451,1.540286608,,17.84551994,6.927189948,1.397519429,4.174085297,0.532244975,6.06980805,0.759795184,1.02919191,0.652547284,1333.052144,21.66636802,131.7555771,420.2138751,5.495745417,55.87299721,109.1124408,,,,,28.27772171,21.69160712,,,,,,,,,,6.159172106,,,,,,,4.324396814,,,,,,,,,,,,,,31.96577663,9.828750654,,,,,,,,,,,,,,,"(33.6283965, -116.4239355)",2021,12,10,18
3614,2021-12-10 18:05:00,18:05:31,44540.75347,44540.75383,33.6435457,-116.5735322,8319.0,2535.6312,1.957137728,195.7137728,72.30075776,419.7695056,573.2792389,,5.171378056,486.4423811,225.7529533,69.89406708,16.16774377,3.14235863,3.1565129,15.60889289,132.688146,259.5438679,22.59729194,26.55954615,13.24179051,1.315766511,78.33683121,78.28487976,0.792404427,1.919349226,551.9127793,7.355353923,0.349394484,0.762399172,0.188087647,0.251253059,1.260883482,,16.26570559,6.132423517,1.299241844,3.742229884,0.483821475,5.406512666,0.65062481,0.887271572,0.579539361,1250.99186,18.1626625,129.3823737,378.8082357,,52.02434288,95.42721405,,,,,26.26327099,19.31871727,,,,,,,,,,6.368568479,3.127678178,,,,,,3.807817347,,,,,,,,,,,,,,32.01813983,8.790392776,,,,,,,,,,,,,,,"(33.6435457, -116.5735322)",2021,12,10,18
3615,2021-12-10 18:07:00,18:07:32,44540.75487,44540.75523,33.6599881,-116.7234979,8314.0,2534.1072,1.952097041,195.2097041,63.9802719,418.5833585,541.4131279,,4.272218457,491.7683643,226.2364569,69.52257913,16.16815319,3.054503392,3.155053969,15.68036472,133.1494308,255.8506853,22.71594769,26.07969137,12.99705824,1.288436045,77.52930397,72.26828466,0.816485544,1.943121774,532.706496,7.326043641,0.385326173,0.733257036,0.181828712,0.28559973,1.214979683,,15.52582582,5.695825628,1.19511393,3.504922756,0.464590196,5.342238423,0.622543093,0.849301846,0.603227388,1177.790688,14.50331193,119.5102783,328.6456116,,46.11583488,82.25639717,,,,,22.25948682,17.59399789,,,,,,,,,,5.342045193,,,,,,,3.226347662,,,,,,,,,,,,,,28.40181705,8.059766615,,,,,,,,,,,,,,,"(33.6599881, -116.7234979)",2021,12,10,18
3616,2021-12-10 18:09:00,18:09:18,44540.75625,44540.75646,33.6724765,-116.8578455,8321.0,2536.2408,1.95209706,195.209706,73.50142741,432.3903642,553.0007977,,10.02590221,496.250767,226.3542049,70.13413484,16.32618059,3.090629634,3.217231069,15.34236542,136.9278994,255.7797341,22.79440524,26.26664235,12.23079591,1.266098304,76.38716682,73.12865509,0.686619821,1.894680766,554.455775,7.22969148,0.314838336,0.683518168,0.182417867,0.277028256,1.139779993,,15.58865643,5.133670857,1.146671827,3.522401502,0.429447127,5.446441453,0.667349983,0.910541117,0.60803059,1257.459526,16.16221,126.6579162,376.7775285,,48.84475807,100.4008881,,,,,24.98712295,19.94848082,,,,,,,,,,6.249654786,,,,,,,4.267189172,,,,,,,,,,,,,,28.77966341,7.370510881,,,,,,,,,,,,,,,"(33.6724765, -116.8578455)",2021,12,10,18
3617,2021-12-10 18:11:00,18:11:26,44540.75771,44540.75794,33.67922,-117.0044863,8320.0,2535.936,1.95413244,195.413244,70.60927785,421.6991391,573.3298429,,3.88952192,494.5021504,226.5207353,69.24222845,16.25991849,3.142323859,3.225696423,16.02440487,135.0467201,256.9025222,22.91851225,26.25282505,12.76456772,1.308768764,78.10566953,75.56715413,0.667691865,1.905062938,555.3415962,7.585331869,0.529679374,0.743210092,0.184071898,0.271192517,1.258769449,,17.54120258,5.928626072,1.278718451,3.625276624,0.488529299,5.650236635,0.683637058,0.896073557,0.631197982,1255.569416,13.68642603,133.2161297,376.1323793,,49.96542005,101.8138128,,,,,24.91714609,21.52883117,,,,,,,,,,6.500148855,,,,,,,4.659304365,3.974855145,,,,,,,,,,,,,29.72036537,8.014617882,,,,,,,,,,,,,,,"(33.67922, -117.0044863)",2021,12,10,18
3618,2021-12-10 18:13:00,18:13:21,44540.75906,44540.75927,33.6844808,-117.1412057,7918.0,2413.4064,1.954382614,195.4382614,82.23770857,416.1079827,563.5861881,,23.32638421,506.101978,229.337671,71.65157531,16.20984402,3.132800963,3.219603971,14.70777485,133.784139,255.9619418,23.80460555,26.19282267,13.14795198,1.305017635,78.1951997,74.07330258,0.753169703,2.244171407,545.6702861,7.108149083,0.397411364,0.759295554,0.21046898,0.442915714,1.424519661,,17.54925868,5.457138815,1.266576305,3.966624454,0.475819228,5.634884854,0.708318282,0.94912153,0.674814776,1376.169646,21.31704387,137.1300112,433.5703629,11.59082195,69.92353819,113.8233274,,,,,32.35034781,25.05099089,,,,,,,,,,6.496724823,,,,,,,4.668231955,,,,,,,,,,,,,,39.54381804,65.6933544,10.7102758,8.421691114,3.455340115,,,,,,,,,,,,"(33.6844808, -117.1412057)",2021,12,10,18
3619,2021-12-10 18:16:00,18:16:28,44540.76126,44540.76144,33.6119813,-117.1960938,4876.0,1486.2048,1.998631882,199.8631882,81.26934196,438.309982,558.5389573,,8.98134482,498.7602376,227.1879187,70.28890621,16.36387168,3.142478912,3.19910458,24.67956966,139.9677627,271.4330685,23.75320861,26.98829093,14.01936245,1.30304132,76.87686569,78.49408071,0.708768848,2.155389629,551.3421212,8.719051315,0.546888214,0.717885003,0.257407804,0.420892518,1.361076195,,17.77684361,5.857289825,1.280063895,4.016600965,0.489038057,5.454314102,0.696218719,0.961652228,0.765712451,1404.866421,57.21616209,171.6300528,524.4961587,,65.7598866,120.1229813,,,,,44.07737812,27.35498679,,,,,,,,,,7.61266259,7.042135264,,,,3.830901507,,7.396684582,5.318201759,3.039950334,,,,,,3.890690562,,,8.276429319,,,38.95989017,15.84768084,,3.740687022,,,,,,,,,,,,,"(33.6119813, -117.1960938)",2021,12,10,18
3620,2021-12-10 18:19:00,18:19:16,44540.76319,44540.76338,33.6985482,-117.1332399,4864.0,1482.5472,2.005929617,200.5929617,82.74224011,425.0746801,563.4632954,,4.402176407,503.0954427,232.4419498,71.16515435,16.25251117,3.168299749,3.204932179,26.85592677,139.0203632,268.5139205,23.3246878,28.25995896,15.19866457,1.377702713,78.07178439,82.73530431,0.825021558,2.260158966,548.3238821,9.355883887,0.56344841,0.843380612,0.240794353,0.350023847,1.468125212,,19.7799394,7.123628253,1.586733758,4.624451633,0.606716137,6.101937196,0.740975281,1.037691217,0.832442344,1435.03255,62.45539768,182.6723031,561.0155475,9.297272666,71.70574091,129.7841573,,,,,49.45679833,29.65245524,,,,,,,,,,8.764088306,6.033045888,,,,4.077249134,,7.75720354,5.340242893,,,,,,,4.304446743,,,8.366390507,3.463505747,,41.81871032,16.73279637,,3.372276435,,,,,,,,,,,,,"(33.6985482, -117.1332399)",2021,12,10,18
3621,2021-12-10 18:22:00,18:22:15,44540.76528,44540.76545,33.8060758,-117.2090479,2879.0,877.5192,2.041817052,204.1817052,102.8018553,435.9524272,549.0481336,2.142194331,10.63210919,502.569872,231.6754437,71.84790526,16.38596545,3.167221842,3.297293824,34.58205452,140.7667506,281.4758271,24.05289306,26.5569996,17.30734169,1.338855121,78.61122724,84.72694927,0.790452925,3.457798526,549.9787647,7.747987045,0.843152645,0.889617109,0.75810584,1.048445214,2.082068376,,20.44567762,7.476696644,1.532169622,4.61808488,0.583529356,6.412273948,0.803773998,1.14509063,0.908997989,1653.343536,132.2405245,225.5310112,825.0147726,26.0696929,106.508703,216.9843639,6.195759405,3.049794102,,,86.89777196,48.25859422,,,,,,,,,,19.64941025,8.42836942,3.095736081,,,6.019098712,5.610082005,17.03638,12.20652853,6.272894928,6.145294482,,,7.358442509,5.416383457,11.49367724,3.101654399,3.430446696,13.45669136,6.477205554,5.065779287,53.93217799,40.16535514,5.618545604,11.07966317,4.165371303,42.7668562,,,,,,,,,5.826351632,3.800734384,"(33.8060758, -117.2090479)",2021,12,10,18
3622,2021-12-10 18:22:00,18:23:06,44540.76588,44540.76604,33.8365177,-117.2284908,1977.0,602.5896,2.070693891,207.0693891,103.7736183,422.1651613,549.2136921,2.897451181,7.16022525,500.7916365,229.0064662,71.70358908,16.34279043,3.207743738,3.24279896,54.28048223,146.7263285,265.1808316,23.66694565,27.14414014,19.55522352,1.356860298,77.37161034,79.01579111,0.887915386,2.688715881,543.615224,7.394641606,0.887160739,0.840447731,1.22095774,1.406016221,2.002975824,,16.43155887,6.480713608,1.38378114,4.275224613,0.52097216,5.888753132,0.774746362,1.127099557,0.881278527,1801.111535,209.1071253,254.6372199,995.3281911,45.67930313,179.6614146,268.1984639,12.77550163,7.131585915,,,155.7169565,131.0171659,,,,,,,,,3.453276408,25.16950922,13.38184317,4.34180294,3.857356424,3.028264323,6.889016866,8.910333564,23.91944614,16.10552922,15.30752906,12.89050816,,,12.49773836,8.283880582,15.54499297,4.869125558,8.316378043,17.49845759,19.19240559,12.06382032,58.62877596,52.00639097,7.629538149,20.23023044,7.041045529,24.36431539,,,3.887063685,,,,5.318481901,,8.86555582,5.861491532,"(33.8365177, -117.2284908)",2021,12,10,18
3623,2021-12-10 18:23:00,18:23:34,44540.7662,44540.76637,33.8524043,-117.2393812,1651.0,503.2248,2.039994456,203.9994456,122.1901691,433.9671567,566.37858,2.451674368,11.89361139,503.5537474,230.8281273,70.86748391,16.23229147,3.186241665,3.245725651,51.85538901,145.6567662,268.4836013,23.25827988,28.38785332,19.86304252,1.410236099,77.69111582,85.03078117,0.9160953,2.679276748,560.4866247,7.526522526,0.91141143,0.949067258,1.151817224,1.334779541,2.053130218,,20.10408983,7.485846488,1.71227596,4.820094606,0.641747236,6.38025657,0.800552194,1.166263076,0.874233918,1807.995884,250.7088427,291.6422338,1186.552409,66.80689231,154.5528071,311.005757,16.58202971,8.476008407,,,165.6446501,91.19714029,,,5.626953509,,,,3.639903979,,,23.0567375,12.78297474,5.50265793,5.164343583,3.780080776,7.48064248,11.59461275,28.83413128,18.985996,14.38844409,13.05805958,,,15.55432055,10.99207231,22.80213735,6.214868523,9.038954786,20.43125263,16.95768398,9.271559838,63.11887789,66.08146158,9.398378902,26.68340884,9.197859248,12.43166912,,,4.486145132,,,,5.571195619,,7.706893288,3.908764159,"(33.8524043, -117.2393812)",2021,12,10,18
3624,2021-12-10 18:23:00,18:23:51,44540.76642,44540.76656,33.8627143,-117.2467418,1431.0,436.1688,2.02908458,202.908458,112.3587512,437.9145169,557.3883026,1.73914122,6.375543848,496.170815,230.1062985,70.85969369,16.26421526,3.17656255,3.227921133,51.0017068,150.0487915,264.7316681,23.31647869,26.03664899,19.70398017,1.355712786,77.7551082,81.74157447,1.001645365,2.80632762,538.7009744,7.746071526,0.99085325,0.959323988,1.120270925,1.420345245,2.18442993,,19.979122,7.781188307,1.630026785,4.544085063,0.560688194,6.439514787,0.809059013,1.131306363,0.948306635,1799.076808,224.7476362,276.2799605,1320.283149,52.03804715,148.1642463,299.0147136,13.21524796,7.387281973,,,161.0206163,70.46037405,,3.286923452,,,,,,,,27.02131693,12.51045282,5.598691261,4.477350736,,7.373628582,11.48331413,30.36504317,20.19787393,13.92582883,13.69906763,,,17.01993385,10.67346152,22.42613769,6.287147244,7.242054136,22.1946891,16.32795567,10.42673946,63.78701197,64.99805166,10.09600704,33.55746524,10.4197862,10.60967595,,,4.367285344,,,,5.546062073,,8.351517039,3.428788038,"(33.8627143, -117.2467418)",2021,12,10,18
3625,2021-12-10 18:23:00,18:24:08,44540.76662,44540.76676,33.8729405,-117.2539897,1355.0,413.004,2.020772391,202.0772391,119.6205965,419.9445842,554.0984734,1.375338054,14.43515153,488.321533,226.038793,69.35286548,16.26490903,3.151601122,3.205114942,45.00376533,146.5734624,263.1644784,23.04073637,28.05933002,18.95269787,1.339063828,76.06727766,79.28229925,0.91513278,2.657840537,525.6896154,7.268660036,0.953931425,0.927448791,0.970812065,1.245705355,2.066262197,,17.57280523,7.134009775,1.651547309,4.743273937,0.586784668,6.55961493,0.836706188,1.227914563,0.948528516,1768.590616,213.1315901,264.1387273,1080.428754,46.42261984,138.0422883,301.6654656,12.95336571,10.21775133,,,157.5025337,75.5845217,,,,,,,3.792064604,,,23.95381654,11.56624605,4.827837109,4.818220275,3.450755976,6.429201767,10.7998245,26.43782429,16.91580784,10.34402283,11.13859355,,,13.76141884,9.040581212,17.10496188,5.103005764,6.969796461,18.835081,12.77448873,7.770063662,60.67715602,53.34661759,8.505780811,23.12050926,8.123266611,8.789249586,,,4.598329607,,,,5.348216035,,7.575526039,3.058285033,"(33.8729405, -117.2539897)",2021,12,10,18
3626,2021-12-10 18:24:00,18:24:26,44540.76682,44540.76697,33.8844621,-117.2621808,1722.0,524.8656,2.009745371,200.9745371,95.01703922,419.4125031,550.2494779,1.217339941,9.999045098,491.3781056,228.0781697,70.13046698,16.27009617,3.124801036,3.163403689,56.49810972,146.6254943,264.7382765,22.85983239,28.42267214,18.68160564,1.394828779,77.54696535,88.04335044,0.872819887,3.388020297,550.5289786,7.439273675,1.124375161,1.008864422,0.86223152,1.162349377,2.321317612,,20.59171469,8.298204773,1.727533203,4.895526876,0.632019252,6.678302893,0.848390049,1.203357158,0.990699687,1753.595744,207.3806808,258.3393368,1133.6863,46.94225485,160.4146446,294.5651588,9.493791032,8.439022859,,,151.1871018,68.29438075,,,,,,,,,,21.53131452,10.9509334,5.103647287,7.102941602,3.437115505,6.697434183,8.717130943,23.56299199,15.70749926,9.242862871,9.540041534,,,10.46951101,6.929784717,16.33916152,3.606087198,7.459860275,15.47722371,9.895730707,8.076388169,60.0077435,53.4544299,8.102461743,24.49301152,8.864570893,59.78086919,,,4.107516946,,,,5.617365807,,6.927428737,,"(33.8844621, -117.2621808)",2021,12,10,18
3627,2021-12-10 18:24:00,18:24:56,44540.76715,44540.76731,33.9062,-117.279704,2588.0,788.8224,2.00066985,200.066985,109.8434719,423.8402335,554.1572178,,7.862021059,498.0365253,226.3888124,70.66756331,16.29050204,3.149606883,3.226314408,50.79375114,141.6284316,268.4523935,23.14932623,26.07135471,16.95964038,1.312957839,77.44020117,80.5159046,0.949503087,3.087873501,537.9662659,7.885845858,0.812907694,0.886392924,0.658384652,0.899876631,1.922623684,,17.62122667,6.699163959,1.447641779,4.435257894,0.569366119,6.340212969,0.782458632,1.135126099,0.90974521,1705.215822,157.4613518,231.6595321,758.1151932,27.54207319,119.5689818,235.0834204,5.54458561,8.567836109,,,101.3366534,53.34374567,,,,,,,,,,17.31402051,8.534432879,4.146191728,4.924273054,4.998011468,6.101491679,5.422951523,18.62537462,12.06702577,6.79558535,7.0876955,,,8.046552671,4.779161874,12.64196305,3.604855173,5.771862695,12.14826747,5.397671295,7.094046312,53.64497809,42.97931473,5.88474493,15.98068393,4.977295497,3.321826544,,,,,,,3.130843036,,4.368588204,,"(33.9062, -117.279704)",2021,12,10,18
3628,2021-12-10 18:25:00,18:26:00,44540.76788,44540.76806,33.8858327,-117.334433,3816.0,1163.1168,2.007753894,200.7753894,100.2463906,434.7064569,555.0231593,,5.699816924,499.5845029,226.8273797,70.63390663,16.27427637,3.151217147,3.215132213,26.47160756,137.8580013,266.4162221,23.67048919,28.01677369,14.31162298,1.325440324,77.05760792,77.71334127,0.754369785,2.299865492,553.9136541,9.019008881,0.563002433,0.760381627,0.250804916,0.393626789,1.500272438,,16.52835269,6.398555257,1.393414346,4.281918122,0.536756579,5.887773141,0.750952234,1.031515142,0.888317345,1515.490328,101.7310236,205.8557866,569.6876756,13.14417026,78.51111441,143.2417657,,,,,57.8880485,33.17477851,,,,,,,,,,9.427808129,8.325680521,,,,4.346114748,4.767942977,11.45862788,5.783351677,3.183265649,3.747133379,,,,,5.925325473,,3.103737487,7.926157448,4.36311763,,43.21762659,24.85710707,3.447565746,8.311846555,3.458602377,,,,,,,,,,,,"(33.8858327, -117.334433)",2021,12,10,18
3629,2021-12-10 18:30:00,18:30:17,44540.77083,44540.77103,33.8770296,-117.2902127,5761.0,1755.9528,2.00509698,200.509698,84.50521835,426.4140902,572.3819434,,6.30040549,504.7685802,233.4322529,71.42514498,16.32479661,3.193682692,3.200613951,24.49141913,137.2276006,269.6098739,23.47759655,27.84014243,14.89754075,1.369477291,77.48921143,84.06930598,0.727943484,2.24084815,568.1387413,9.602431298,0.588909976,0.830998667,0.233716595,0.345371845,1.428663891,,18.08572867,7.04597133,1.531925881,4.599927178,0.57792718,5.899764832,0.718904518,1.002483275,0.755539239,1408.068611,54.58153745,170.0719223,546.915268,12.10399649,72.17937991,128.5779321,4.98681897,,,,45.77934873,26.92591742,,,,,,,3.209012902,,,8.255660106,7.066365824,,,,4.126888405,,8.100815709,4.741982012,,,,,,,3.725253565,,3.539349766,,3.013699806,,39.69028747,15.99436791,,3.054780975,,,,,,,,,,,,,"(33.8770296, -117.2902127)",2021,12,10,18
3630,2021-12-10 18:34:00,18:34:57,44540.77409,44540.77427,34.0471856,-117.3907222,3675.0,1120.14,1.999734112,199.9734112,101.4027467,417.6083582,537.6620005,,6.648789907,490.7678989,222.5746027,70.9956548,16.16980332,3.096357489,3.188989942,25.65873466,133.028479,263.0272218,22.84129832,26.66169817,14.00766173,1.266965732,75.65162002,84.83484607,0.70336962,2.289438997,527.4907764,8.690379616,0.514091256,0.879751103,0.268278364,0.397206791,1.701902085,,19.93838785,7.053209837,1.530179797,4.52176893,0.586030939,5.867062743,0.73492957,0.991304709,0.847379488,1465.443614,100.7403215,190.3597979,603.2521027,13.22259651,76.47129092,137.2806714,,,,,58.77454925,30.06075643,,,,,,,,,,9.870893632,9.65189417,,,,4.114961628,,9.042464623,5.969415487,3.850457477,3.517184907,,,,,5.101096886,,,8.705291239,,,47.83963942,22.38377094,3.259108402,5.845683032,,,,,,,,,,,,,"(34.0471856, -117.3907222)",2021,12,10,18
3631,2021-12-10 18:35:00,18:36:02,44540.77486,44540.77502,34.0633791,-117.3441352,2543.0,775.1064,2.001986196,200.1986196,110.8357557,438.4158904,572.6544195,,13.83545542,497.9971358,227.4588883,70.25370737,16.21103262,3.4351554,3.306623283,51.76468647,159.6780649,381.8953004,24.15124738,42.57100017,15.65497325,1.351521357,76.82705484,82.44034655,0.807933294,2.657211646,565.391699,8.788885721,0.618412581,0.82708285,0.321812159,0.510845807,1.749467928,,18.05142452,7.052509818,1.525302089,4.51411346,0.598375235,6.11361978,0.778234187,1.078311678,0.976193303,1648.617917,166.6318782,227.5294743,698.0903277,33.66774616,110.7324315,212.584807,4.719496376,5.213470623,,,147.7601725,68.40354584,,4.630872036,,,,,3.329856884,,,24.01826015,18.9818705,6.90620118,5.70079427,4.796448326,7.84669078,13.78781651,34.3353857,23.12822591,14.55544377,14.08455916,,,18.71974782,13.46130595,28.23069404,10.52823109,15.40978436,22.08903024,12.90943051,9.447166741,54.7938444,77.68913129,15.80168989,54.13837176,20.52947825,5.330003804,,5.517654362,10.69183708,8.705576421,6.016260003,6.682034449,14.26459661,6.668486318,4.769931238,,"(34.0633791, -117.3441352)",2021,12,10,18
